,Origin,Destination,distance
203,22811.0,21017.0,2962.1030000000014
204,21909.0,21017.0,1416.654
205,20425.0,21017.0,1087.541
206,21019.0,21017.0,1478.26
207,22507.0,21017.0,2355.89
208,22509.0,21017.0,2953.593000000001
209,20426.0,21017.0,1214.227
210,21614.0,21017.0,1612.8059999999991
211,20719.0,21017.0,817.674
212,22207.0,21017.0,1712.8450000000003
213,21911.0,21017.0,1549.77
214,22209.0,21017.0,2077.7279999999996
215,21316.0,21017.0,1273.4099999999999
216,21910.0,21017.0,1317.5800000000002
217,21912.0,21017.0,2236.6459999999993
218,23113.0,21017.0,3224.4330000000014
219,21612.0,21017.0,885.671
220,20720.0,21017.0,550.1809999999999
221,21016.0,21017.0,418.11899999999997
222,23114.0,21017.0,3395.248000000001
223,21314.0,21017.0,518.903
224,22506.0,21017.0,2206.015999999999
225,22810.0,21017.0,2847.435000000001
226,22208.0,21017.0,1874.5439999999996
227,21908.0,21017.0,2009.398
228,20721.0,21017.0,723.4359999999999
229,21611.0,21017.0,1160.5890000000002
230,21313.0,21017.0,755.823
231,22505.0,21017.0,2335.9189999999994
232,21613.0,21017.0,1231.5370000000003
233,21018.0,21017.0,789.87
234,22508.0,21017.0,2522.7679999999996
235,22210.0,21017.0,2447.171
236,22206.0,21017.0,2023.163
237,21315.0,21017.0,883.667
238,22812.0,21017.0,3433.5310000000013
239,21313.0,21018.0,1139.1280000000002
240,21019.0,21018.0,1162.605
241,23114.0,21018.0,3137.1309999999985
242,22208.0,21018.0,1818.1079999999997
243,22508.0,21018.0,2229.261
244,20426.0,21018.0,1294.2039999999997
245,21614.0,21018.0,943.1149999999999
246,21912.0,21018.0,1658.153
247,22509.0,21018.0,2681.2239999999997
248,22206.0,21018.0,2402.986000000001
249,21911.0,21018.0,1356.5140000000001
250,22210.0,21018.0,2174.8019999999997
251,20425.0,21018.0,1167.518
252,21613.0,21018.0,959.924
253,21316.0,21018.0,603.7189999999999
254,21612.0,21018.0,1131.8680000000002
255,21611.0,21018.0,1540.4119999999998
256,20719.0,21018.0,1070.349
257,22810.0,21018.0,2666.1859999999997
258,22209.0,21018.0,1770.1740000000002
259,22507.0,21018.0,2278.178
260,22207.0,21018.0,2036.042
261,21910.0,21018.0,1339.012
262,21016.0,21018.0,1099.3690000000004
263,22505.0,21018.0,2715.742
264,22809.0,21018.0,2670.605
265,22506.0,21018.0,2330.45
266,21909.0,21018.0,1796.4769999999999
267,23113.0,21018.0,3039.3979999999997
268,21315.0,21018.0,605.5379999999999
269,22812.0,21018.0,3161.162
270,22811.0,21018.0,2668.596
271,20721.0,21018.0,324.837
272,21908.0,21018.0,2391.8840000000005
273,20720.0,21018.0,607.526
274,21314.0,21018.0,744.858
275,21017.0,21018.0,789.8700000000001
276,22809.0,21019.0,3394.5399999999995
277,20721.0,21019.0,1054.298
278,22207.0,21019.0,2783.3589999999995
279,22206.0,21019.0,3150.942
280,23113.0,21019.0,3603.0509999999977
281,22208.0,21019.0,2413.9429999999998
282,21614.0,21019.0,1425.9740000000006
283,22505.0,21019.0,3463.6979999999994
284,21908.0,21019.0,3140.384
285,21611.0,21019.0,2288.3679999999995
286,20426.0,21019.0,2023.665
287,21612.0,21019.0,1879.1849999999997
288,21314.0,21019.0,1492.814
289,21018.0,21019.0,1162.6050000000002
290,21017.0,21019.0,1478.2600000000002
291,21911.0,21019.0,1906.206
292,22812.0,21019.0,3157.4449999999997
293,22811.0,21019.0,3185.673999999999
294,21315.0,21019.0,1130.342
295,22508.0,21019.0,2746.338999999999
296,21016.0,21019.0,1770.3340000000003
297,22506.0,21019.0,3077.767
298,21910.0,21019.0,2086.3289999999997
299,22507.0,21019.0,2779.313
300,22810.0,21019.0,3267.717999999999
301,21909.0,21019.0,2544.4329999999995
302,21912.0,21019.0,1645.803
303,22509.0,21019.0,2677.507
304,20720.0,21019.0,1336.987
305,23114.0,21019.0,3654.208999999998
306,21316.0,21019.0,1086.5780000000002
307,21313.0,21019.0,1887.7179999999996
308,22209.0,21019.0,2287.252
309,20719.0,21019.0,1799.8100000000002
310,20425.0,21019.0,1896.9790000000003
311,21613.0,21019.0,1511.3419999999999
312,22210.0,21019.0,2171.0849999999996
313,22812.0,21313.0,3179.7580000000007
314,21316.0,21313.0,1158.1599999999999
315,21911.0,21313.0,1295.9970000000003
316,22811.0,21313.0,2708.3300000000004
317,23113.0,21313.0,2970.6600000000003
318,22809.0,21313.0,2379.16
319,22507.0,21313.0,2102.117
320,21613.0,21313.0,1056.0379999999998
321,21314.0,21313.0,394.97499999999997
322,22505.0,21313.0,1699.8629999999998
323,22508.0,21313.0,2268.9949999999994
324,21016.0,21313.0,435.445
325,20720.0,21313.0,1183.7789999999998
326,22209.0,21313.0,1823.9550000000004
327,20425.0,21313.0,1649.293
328,21910.0,21313.0,1063.8069999999998
329,21908.0,21313.0,1253.575
330,22810.0,21313.0,2593.662
331,22207.0,21313.0,1443.306
332,22210.0,21313.0,2193.3979999999997
333,21017.0,21313.0,755.8230000000001
334,21614.0,21313.0,1497.5559999999996
335,20721.0,21313.0,1328.5859999999998
336,20426.0,21313.0,1775.979
337,23114.0,21313.0,3141.4750000000004
338,21912.0,21313.0,2109.982
339,21018.0,21313.0,1139.1279999999997
340,22206.0,21313.0,1267.6910000000003
341,20719.0,21313.0,872.0580000000001
342,21909.0,21313.0,921.2880000000001
343,21612.0,21313.0,631.898
344,22208.0,21313.0,1620.7710000000002
345,21315.0,21313.0,760.0260000000001
346,22509.0,21313.0,2699.82
347,21611.0,21313.0,405.11699999999996
348,21019.0,21313.0,1887.7179999999998
349,22506.0,21313.0,1926.819
350,20425.0,21314.0,1498.8659999999998
351,22208.0,21314.0,1428.0090000000005
352,21315.0,21314.0,365.05100000000004
353,22811.0,21314.0,2515.568
354,21019.0,21314.0,1492.8139999999996
355,22812.0,21314.0,2986.0290000000005
356,22506.0,21314.0,1763.9270000000006
357,22810.0,21314.0,2400.9
358,22509.0,21314.0,2506.091
359,23114.0,21314.0,2948.713
360,20720.0,21314.0,961.506
361,20719.0,21314.0,1228.9990000000003
362,22505.0,21314.0,1972.355
363,21908.0,21314.0,1647.5700000000002
364,22207.0,21314.0,1318.6080000000004
365,21909.0,21314.0,1053.0899999999997
366,21313.0,21314.0,394.97499999999997
367,22206.0,21314.0,1659.5990000000004
368,22809.0,21314.0,2214.799
369,20426.0,21314.0,1625.552
370,22508.0,21314.0,2076.2329999999997
371,21614.0,21314.0,1102.581
372,21611.0,21314.0,797.0249999999999
373,22507.0,21314.0,1909.3550000000002
374,22210.0,21314.0,1999.6690000000008
375,21613.0,21314.0,716.388
376,21016.0,21314.0,824.6680000000001
377,20721.0,21314.0,935.0479999999999
378,21612.0,21314.0,414.43399999999997
379,21910.0,21314.0,871.0449999999998
380,22209.0,21314.0,1631.1930000000004
381,21911.0,21314.0,1102.268
382,21912.0,21314.0,1720.8090000000002
383,21017.0,21314.0,518.903
384,23113.0,21314.0,2777.898
385,21316.0,21314.0,763.1850000000001
386,21018.0,21314.0,744.8580000000001
387,21613.0,21315.0,381.0
388,23113.0,21315.0,2600.6980000000012
389,20720.0,21315.0,1178.8180000000002
390,22810.0,21315.0,2224.1800000000007
391,22811.0,21315.0,2332.984000000001
392,21019.0,21315.0,1130.342
393,21316.0,21315.0,398.134
394,22207.0,21315.0,1655.0040000000001
395,21611.0,21315.0,1160.605
396,22509.0,21315.0,2294.4290000000005
397,21909.0,21315.0,1416.67
398,21018.0,21315.0,605.538
399,21614.0,21315.0,737.53
400,21910.0,21315.0,957.9740000000002
401,22507.0,21315.0,1726.7709999999997
402,21313.0,21315.0,760.026
403,20719.0,21315.0,1456.4469999999997
404,20721.0,21315.0,930.375
405,21612.0,21315.0,750.8299999999999
